row,code,code_norm,price_usd,category_guess,suggested_name,image_file,flag,short_description
2,DH-IPC-HFW5442E-Z4E,IPCHFW5442EZ4E,235,Мониторы,Монитор Dahua DH-IPC-HFW5442E-Z4E,DH-IPC-HFW5442E-Z4E.png,ok,Цилиндрическая IP-видеокамера
3,DH-C2K-P,C2KP,34.4706,Объективы,Объектив Dahua DH-C2K-P,DH-C2K-P.jpg,ok,1/2.7” CMOS
4,DH-C4K-P,C4KP,43.6471,Видеокамеры,Видеокамера Dahua DH-C4K-P,DH-C4K-P.jpg,ok,"Компактная IP-видеокамера с Wi-Fi 4Мп; 1/3” CMOS; объектив 2.8мм; механический ИК-фильтр; сжатие: H.265+, H.265, H.264+, H.264, MJPEG; 2 потока до 4Мп@25к/с; видеоаналитика: SMD Plus (интеллектуальный"
5,DH-HAC-HFW1200RLP-IL-T,HACHFW1200RLPILT,21.2471,Видеорегистраторы,Видеорегистратор Dahua DH-HAC-HFW1200RLP-IL-T,DH-HAC-HFW1200RLP-IL-T.png,ok,> * Для использования камеры Smart Dual Light HDCVI необходимо обновить прошивку XVR до версии V4.001.0000004.1.R.220323 или более поздней.
6,DH-HAC-HDW1200CLQP-IL-A,HACHDW1200CLQPILA,13.0588,Видеокамеры,Видеокамера Dahua DH-HAC-HDW1200CLQP-IL-A,DH-HAC-HDW1200CLQP-IL-A.png,ok,Уличная купольная HDCVI-видеокамера с интеллектуальной двойной подсветкой 2Мп; CMOS; объектив 2.8мм; механический ИК-фильтр; чувствительность 0.01лк@F2.0; видеовыход: BNC (переключаемый HDCVI/TVI/AHD/
7,DH-HAC-HDW1209TLQP-A-LED,HACHDW1209TLQPALED,20.7412,Видеокамеры,Видеокамера Dahua DH-HAC-HDW1209TLQP-A-LED,DH-HAC-HDW1209TLQP-A-LED.png,ok,"Уличная купольная HDCVI-видеокамера Full-color Starlight 2Mп; CMOS; объектив 3.6мм; чувствительность 0.005лк@F1.6; видеовыход: BNC (переключаемый HDCVI/TVI/AHD/CVBS); частота кадров: 25к/с@1080p, LED-"
8,DH-HAC-HDW1500TRQP,HACHDW1500TRQP,14.1176,Видеокамеры,Видеокамера Dahua DH-HAC-HDW1500TRQP,DH-HAC-HDW1500TRQP.jpeg,ok,Купольная HDCVI-видеокамера Starlight 5Мп; 1/2.7” CMOS; объектив 2.8мм; механический ИК-фильтр; чувствительность 0.005лк@F1.6; видеовыход: BNC (переключаемый HDCVI/TVI/AHD/CVBS); частота кадров: 25к/c
9,DH-HAC-HDW1509TLQP-A-LED,HACHDW1509TLQPALED,28.2353,Видеокамеры,Видеокамера Dahua DH-HAC-HDW1509TLQP-A-LED,DH-HAC-HDW1509TLQP-A-LED.jpeg,ok,Уличная купольная HDCVI-видеокамера Full-color Starlight 5Mп; CMOS; объектив 2.8мм; WDR(120дБ); чувствительность 0.001лк@F1.0; видеовыход: BNC (переключаемый HDCVI/TVI/AHD/CVBS); частота кадров: 25к/c
10,DH-HAC-HFW1200CLP-IL-A,HACHFW1200CLPILA,13.0588,Видеокамеры,Видеокамера Dahua DH-HAC-HFW1200CLP-IL-A,DH-HAC-HFW1200CLP-IL-A.png,ok,Уличная цилиндрическая HDCVI-видеокамера с интеллектуальной двойной подсветкой 2Мп; CMOS; объектив 3.6мм; механический ИК-фильтр; чувствительность 0.01лк@F2.0; видеовыход: BNC (переключаемый HDCVI/TVI
11,DH-HAC-HFW1209CLP-LED,HACHFW1209CLPLED,15.8847,Видеокамеры,Видеокамера Dahua DH-HAC-HFW1209CLP-LED,DH-HAC-HFW1209CLP-LED.jpeg,ok,Уличная цилиндрическая HDCVI-видеокамера с интеллектуальной двойной подсветкой 2Мп; CMOS; объектив 2.8мм; механический ИК-фильтр; чувствительность 0.01лк@F2.0; видеовыход: BNC (переключаемый HDCVI/TVI
